"metabolites.fold.change"	"metabolites.p.value"	"met_type"	"met_name"
"Arginine"	-0.0204142472402709	0.469725581219652	"ns"	"Arginine"
"Glutamine"	-0.325808657681157	0.0297085802419432	"reprimido"	"Glutamine"
"Asparagine"	0.206854987819343	0.164670470476915	"ns"	"Asparagine"
"Alanine"	0.142730795213153	0.28243549013433	"ns"	"Alanine"
"Serine"	0.141356617716199	0.272841610903388	"ns"	"Serine"
"Threonine"	0.258969515220405	0.143096089332669	"ns"	"Threonine"
"Histidine"	0.890683342076638	0.0191943869869354	"activado"	"Histidine"
"Sucrose"	0.0696908726929035	0.381163543990328	"ns"	"Sucrose"
"Valine"	-0.184712158152669	0.283175506365344	"ns"	"Valine"
"Methionine"	0.0779398802390332	0.413988098369956	"ns"	"Methionine"
"Tyrosine"	0.167733882422028	0.259861461787874	"ns"	"Tyrosine"
"Leucine.Isoleucine"	-0.0677163994020683	0.436416841745939	"ns"	"Leucine.Isoleucine"
"Phenylalanine"	0.630656326296372	0.0422197069660204	"activado"	"Phenylalanine"
"Aspartic"	-0.541228821302692	0.0864655089707644	"ns"	"Aspartic"
"Glutamic"	0.131629436044274	0.292613985873023	"ns"	"Glutamic"
"Tryptophan"	1.62641914571886	0.00326941326056688	"activado"	"Tryptophan"
"GAP"	0.219727134881696	0.167358091275004	"ns"	"GAP"
"NAD"	0.363851737950947	0.175729769270756	"ns"	"NAD"
"Sucrose6P"	-0.00190443966449831	0.497358037661121	"ns"	"Sucrose6P"
"Fructose6P"	-0.0428774858856473	0.426653597783097	"ns"	"Fructose6P"
"Ribulose5P"	0.515038565672345	0.104360685784534	"ns"	"Ribulose5P"
"AMP"	0.55116561817058	0.0206535729006647	"activado"	"AMP"
"UDPG"	-0.0517890829457975	0.373850107975801	"ns"	"UDPG"
"X3PG"	-0.206000934694264	0.332209875280659	"ns"	"X3PG"
"PEP"	0.0130943836716381	0.491058765378891	"ns"	"PEP"
"UDP"	-0.0596154007352187	0.421788657802265	"ns"	"UDP"
"GDP"	0.17323776625778	0.34455344510869	"ns"	"GDP"
"NADH"	0.220576244369713	0.285599351722256	"ns"	"NADH"
"NADP"	-0.635466362541399	0.0244017351218085	"reprimido"	"NADP"
"ADP"	-0.119630864582382	0.32359344601453	"ns"	"ADP"
"Fructose16P"	0.433087806416023	0.301630695576205	"ns"	"Fructose16P"
"UTP"	-0.616366120720919	0.0303491641761627	"reprimido"	"UTP"
"GTP"	-0.288551786376	0.205368758683414	"ns"	"GTP"
"ATP"	-0.614549588704659	0.0225450875242382	"reprimido"	"ATP"
"NADPH"	-0.809672826324326	0.0154385516794127	"reprimido"	"NADPH"
"AcCoA"	0.197535394694697	0.276775260384132	"ns"	"AcCoA"
"Glucose6P"	0.032250215640118	0.430563533369879	"ns"	"Glucose6P"
"Glucose1P"	0.192488662529946	0.11577480761349	"ns"	"Glucose1P"
"Succinic"	0.553851502442618	0.00712227087477558	"activado"	"Succinic"
"Oxaloacetic"	-0.221011304400739	0.272221746584299	"ns"	"Oxaloacetic"
"Fumaric"	0.143285134061363	0.122919248148275	"ns"	"Fumaric"
"Malic"	0.193518112168162	0.115894742254735	"ns"	"Malic"
"a.ketoglutaric"	1.17287333099655	0.0495275857309622	"activado"	"a.ketoglutaric"
"ADPG"	0.935271383181931	0.016909404946351	"activado"	"ADPG"
"GG"	-0.174564889666858	0.170265449798111	"ns"	"GG"
"GSSG"	0.0284599139943899	0.42200080035382	"ns"	"GSSG"
"Citrulline"	0.379349078888286	0.12552605058707	"ns"	"Citrulline"
"CoA"	-0.159117530376713	0.381601813656863	"ns"	"CoA"
"Erythrose4P"	0.0822700955353712	0.340580574336164	"ns"	"Erythrose4P"
"Ribose5P"	0.5275089912802	0.10851609629052	"ns"	"Ribose5P"
"X6phosphogluconic"	-0.44050413872865	0.0174668242201157	"reprimido"	"X6phosphogluconic"
"Glucose"	0.333419721175527	0.0709425966421653	"ns"	"Glucose"
"Sedoheptulose7P"	-0.142199493927889	0.350275953484613	"ns"	"Sedoheptulose7P"
"Piruvic"	0.0260967534890412	0.447149634226417	"ns"	"Piruvic"
"Isocitric"	-0.0213371167064656	0.474668930069237	"ns"	"Isocitric"
"neoxanthin"	-0.0646438754693745	0.348965610017304	"ns"	"neoxanthin"
"violaxanthin"	-2.24278322065248	0.00139684031717797	"reprimido"	"violaxanthin"
"antheraxanthin"	1.78076536544303	0.00658066715910152	"activado"	"antheraxanthin"
"lutein"	0.223506972927351	0.00964963668964949	"activado"	"lutein"
"zeaxanthin"	5.37512633806909	7.30906650508675e-06	"activado"	"zeaxanthin"
"chlorophyll-a"	0.111079270976776	0.0103644624170016	"activado"	"chlorophyll-a"
"chlorophyll-b"	-0.00375053869672307	0.471738784393455	"ns"	"chlorophyll-b"
"A-carotene"	-0.175151705996767	0.019978873437253	"reprimido"	"A-carotene"
"B-carotene"	0.00960914300245261	0.444056970813289	"ns"	"B-carotene"
"ABA"	-0.373893652144121	0.0712018261291958	"ns"	"ABA"
"Salicylic"	-0.00168796015300638	0.494839911704221	"ns"	"Salicylic"
"ICA"	0.172430685037943	0.142521840030445	"ns"	"ICA"
"GABA"	-0.115079728167832	0.348090028442934	"ns"	"GABA"
"IAA"	1.70775546828008	0.00174029497070179	"activado"	"IAA"
